#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
PAX3	5077	2q36.1	chr2:222199887-222298996	3	Sufficient evidence for dosage pathogenicity	1347148	8490648	8533800	0	No evidence available				2020-05-27	193500	
PAX6	5080	11p13	chr11:31784792-31817961	3	Sufficient evidence for dosage pathogenicity				1	Little evidence for dosage pathogenicity	21271670			2015-11-05	106210	
PAX8	7849	2q14.1	chr2:113215997-113278950	2	Some evidence for dosage pathogenicity	9590296	22898500		0	No evidence available				2013-10-30		
PAX9	5083	14q13.3	chr14:36657568-36677807	3	Sufficient evidence for dosage pathogenicity	10615120	11781684	11941488	0	No evidence available				2012-03-21	604625	
PBX1	5087	1q23.3	chr1:164559360-164886047	3	Sufficient evidence for dosage pathogenicity	29036646	28566479	28270404	0	No evidence available				2019-09-05		
PC	5091	11q13.2	chr11:66848522-66958418	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	266150	
PCCA	5095	13q32.3	chr13:100089015-100530437	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	606054	
PCDH15	65217	10q21.1	chr10:53802771-55629182	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PCDH19	57526	Xq22.1	chrX:100291644-100410273	3	Sufficient evidence for dosage pathogenicity	18469813	19214208	23712037	0	No evidence available				2013-06-06	300088	
PCDH9	5101	13q21.32	chr13:66302834-67230336	0	No evidence available				0	No evidence available				2012-06-07		
PCSK9	255738	1p32.3	chr1:55039476-55064853	40	Dosage sensitivity unlikely	19191301	15654334		0	No evidence available				2015-12-17		
PCYT1A	5130	3q29	chr3:196237745-196287752	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608940	
PDE4D	5144	5q11.2-q12.1	chr5:58969038-60488098	0	No evidence available				0	No evidence available				2018-02-02		
PDE6C	5146	10q23.33	chr10:93612588-93665673	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613093	
PDHA1	5160	Xp22.12	chrX:19343893-19361707	3	Sufficient evidence for dosage pathogenicity	1907799	9686362	10679936	0	No evidence available				2012-09-06	312170	
PDHX	8050	11p13	chr11:34915829-34996128	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	245349	
PDP1	54704	8q22.1	chr8:93916855-93926068	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	608782	
PDSS2	57107	6q21	chr6:107152557-107459683	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614652	
PDX1	3651	13q12.2	chr13:27919982-27926314	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PEG10	23089	7q21.3	chr7:94656325-94669695	0	No evidence available				0	No evidence available				2012-08-22		
PEG3	5178	19q13.43	chr19:56810077-56840726	0	No evidence available				0	No evidence available				2012-05-17		
PEPD	5184	19q13.11	chr19:33386949-33521893	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	170100	
PEX1	5189	7q21.2	chr7:92487023-92528531	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
PEX11B	8799	1q21.1	chr1:145911348-145918924	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614920	
PEX14	5195	1p36.22	chr1:10474946-10630758	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614887	
PEX16	9409	11p11.2	chr11:45909669-45918123	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PEX26	55670	22q11.21	chr22:18077920-18091031	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PEX3	8504	6q24.2	chr6:143450781-143490616	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PEX7	5191	6q23.3	chr6:136822220-136913934	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
PGAP3	93210	17q12	chr17:39671122-39688070	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615716	
PGK1	5230	Xq21.1	chrX:78104169-78126827	3	Sufficient evidence for dosage pathogenicity	10720297	16567715	8122886	0	No evidence available				2012-06-28	300653	
PGM1	5236	1p31.3	chr1:63593276-63660245	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614921	
PGM3	5238	6q14.1	chr6:83150728-83193936	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615816	
PHC1	1911	12p13.31	chr12:8914664-8941467	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615414	
PHEX	5251	Xp22.11	chrX:22032327-22251310	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-06-28	307800	
PHF2	5253	9q22.31	chr9:93576627-93679587	1	Little evidence for dosage pathogenicity	25363768	27824329		0	No evidence available				2019-02-27		
PHF21A	51317	11p11.2	chr11:45929319-46121434	2	Some evidence for dosage pathogenicity	30487643	25262651	25363768	0	No evidence available				2020-05-27		
PHF3	23469	6q12	chr6:63635802-63715522	1	Little evidence for dosage pathogenicity	25363768	28263302		0	No evidence available				2019-02-27		
PHF6	84295	Xq26.2	chrX:134373312-134428792	3	Sufficient evidence for dosage pathogenicity	12415272	15994862	22190899	0	No evidence available				2012-04-26	301900	
PHIP	55023	6q14.1	chr6:78934419-79078298	2	Some evidence for dosage pathogenicity	23033978	27900362	27824329	0	No evidence available				2018-03-28		
PHKB	5257	16q12.1	chr16:47461131-47701523	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	261750	
PHKG2	5261	16p11.2	chr16:30748299-30761176	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613027	
PHLDA2	7262	11p15.4	chr11:2928273-2929420	0	No evidence available				0	No evidence available				2012-03-22		
PHYH	5264	10p13	chr10:13277796-13300130	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	266500	
PIGA	5277	Xp22.2	chrX:15319451-15335554	2	Some evidence for dosage pathogenicity	24706016	24357517		0	No evidence available				2014-11-04	300868	
PIGN	23556	18q21.33	chr18:62044224-62187118	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614080	
PIGO	84720	9p13.3	chr9:35085493-35096601	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614749	
PIGW	284098	17q12	chr17:36534762-36539303	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	616025	
PIK3CA	5290	3q26.32	chr3:179148114-179240093	0	No evidence available				0	No evidence available				2015-03-12		
PIK3R2	5296	19p13.11	chr19:18153178-18170533	0	No evidence available				0	No evidence available				2015-06-25		
PINK1	65018	1p36.12	chr1:20633455-20651511	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	605909	
PIP5K1C	23396	19p13.3	chr19:3630181-3700492	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	611369	
PITPNA	5306	17p13.3	chr17:1517989-1562816	0	No evidence available				0	No evidence available				2012-06-07		
PITX2	5308	4q25	chr4:110617423-110642123	3	Sufficient evidence for dosage pathogenicity	14985297			0	No evidence available				2012-07-06	180500	
PITX3	5309	10q24.32	chr10:102230189-102241474	0	No evidence available				0	No evidence available				2013-11-06		
PKD1	5310	16p13.3	chr16:2088708-2135898	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-02-22	173900	
PKD2	5311	4q22.1	chr4:88007647-88077779	3	Sufficient evidence for dosage pathogenicity	8650545	9402976		0	No evidence available				2012-07-06	613095	
PLA2G6	8398	22q13.1	chr22:38111495-38192099	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
PLAGL1	5325	6q24.2	chr6:143940300-144064599	0	No evidence available				0	No evidence available				2012-08-26		
PLCB1	23236	20p12.3	chr20:8132236-8884911	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613722	
PLEKHG5	57449	1p36.31	chr1:6466092-6520061	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
PLOD1	5351	1p36.22	chr1:11934667-11975542	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	225400	
PLOD2	5352	3q24	chr3:146069436-146161495	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	609220	
PLOD3	8985	7q22.1	chr7:101205977-101217730	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	612394	
PLP1	5354	Xq22.2	chrX:103776506-103792619	3	Sufficient evidence for dosage pathogenicity				3	Sufficient evidence for dosage pathogenicity				2012-05-17	312080	312080,312920
PMM2	5373	16p13.2	chr16:8797813-8849337	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	212065	
PMP22	5376	17p12	chr17:15229777-15265373	3	Sufficient evidence for dosage pathogenicity	8012388	9040737	9712007	0	No evidence available				2012-07-12	162500	118220
PMS2	5395	7p22.1	chr7:5970925-6009106	3	Sufficient evidence for dosage pathogenicity	18602922	23837913	22585707	0	No evidence available				2015-11-15	614337	
PNP	4860	14q11.2	chr14:20469379-20478006	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613179	
POGZ	23126	1q21.3	chr1:151402724-151459465	3	Sufficient evidence for dosage pathogenicity	27148570	26942287	26739615	0	No evidence available				2017-12-27	616364	
POLE	5426	12q24.33	chr12:132623762-132687524	1	Little evidence for dosage pathogenicity	23585368	29020732		0	No evidence available				2019-12-16		
POLH	5429	6p21.1	chr6:43576141-43620523	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	278750	
POLL	27343	10q24.32	chr10:101578882-101588270	0	No evidence available				0	No evidence available				2011-12-21		246560
POLR1D	51082	13q12.2	chr13:27620743-27667422	2	Some evidence for dosage pathogenicity	21131976			0	No evidence available				2013-08-01	613717	
POMP	51371	13q12.3	chr13:28659004-28678957	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-08-27	601952	
POMT2	29954	14q24.3	chr14:77274956-77320885	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613150,613156,613158	
POR	5447	7q11.23	chr7:75915102-75986855	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
PORCN	64840	Xp11.23	chrX:48508954-48520814	3	Sufficient evidence for dosage pathogenicity	17546030	17546031	20854095	0	No evidence available				2012-08-23	305600	
PPIB	5479	15q22.31	chr15:64155815-64163155	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	259440	
PPIP5K1	9677	15q15.3	chr15:43533462-43590272	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-08-26	603720	
PPP1R9A	55607	7q21.3	chr7:94907202-95296415	0	No evidence available				0	No evidence available				2012-04-04		
PPT1	5538	1p34.2	chr1:40072710-40097470	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256730	
PQBP1	10084	Xp11.23	chrX:48897862-48903145	3	Sufficient evidence for dosage pathogenicity	20950397	17033686	21315190	0	No evidence available				2020-04-09	309500	
PRCD	768206	17q25.1	chr17:76527586-76555339	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	610599	
PRDM6	93166	5q23.2	chr5:123089146-123194266	0	No evidence available				0	No evidence available				2017-12-14		
PREPL	9581	2p21	chr2:44317607-44361862	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-03-21	616224	
PRG4	10216	1q31.1	chr1:186296273-186314562	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	208250	
PRKAG2	51422	7q36.1	chr7:151556114-151877231	0	No evidence available				0	No evidence available				2015-11-05		
PRKN	5071	6q26	chr6:161347417-162727802	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-05-15		
PROP1	5626	5q35.3	chr5:177992235-177996242	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	262600	
PRPS1	5631	Xq22.3	chrX:107628424-107651026	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-17	301835,311070,304500	
PRSS1	5644	7q34	chr7:142740235-142753076	0	No evidence available				0	No evidence available				2012-10-29		18063422
PSAT1	29968	9q21.2	chr9:78297075-78330093	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
PSD3	23362	8p22	chr8:18527303-19086909	0	No evidence available				0	No evidence available				2016-12-07		
PSPH	5723	7p11.2	chr7:56010363-56051604	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614023	
PTCH1	5727	9q22.32	chr9:95442982-95516965	3	Sufficient evidence for dosage pathogenicity	8681379	8981943	8658145	1	Little evidence for dosage pathogenicity	18830227			2011-12-01	109400	
PTCHD1	139411	Xp22.11	chrX:23334370-23404374	3	Sufficient evidence for dosage pathogenicity	25131214	20844286	25533962	0	No evidence available				2018-02-28	300830	
PTEN	5728	10q23.31	chr10:87863438-87971930	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2011-10-28		
PTHLH	5744	12p11.22	chr12:27958084-27974187	2	Some evidence for dosage pathogenicity	20170896	30458061	29947179	1	Little evidence for dosage pathogenicity	26733284			2019-01-10	613382	
PTPN11	5781	12q24.13	chr12:112418898-112509918	3	Sufficient evidence for dosage pathogenicity	20577567	21533187		0	No evidence available	18348260	19760651		2012-03-22	156250	163950
PTPRQ	374462	12q21.31	chr12:80424261-80680273	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613391	
PTS	5805	11q23.1	chr11:112226365-112233973	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	261640	
PURA	5813	5q31.3	chr5:140114123-140119416	3	Sufficient evidence for dosage pathogenicity	25342064	25439098	27148565	0	No evidence available				2017-06-07	616158	
PXDN	7837	2p25.3	chr2:1631887-1744852	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	269400	
PYCR1	5831	17q25.3	chr17:81932384-81937328	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
QDPR	5860	4p15.32	chr4:17486393-17512234	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	261630	
RAB27A	5873	15q21.3	chr15:55202966-55291188	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	607624	
RAB28	9364	4p15.33	chr4:13293479-13484365	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615374	
RAB39B	116442	Xq28	chrX:155258234-155264589	3	Sufficient evidence for dosage pathogenicity	20159109	21076407	23871722	0	No evidence available				2020-05-29	300774	
RAB3GAP1	22930	2q21.3	chr2:135052265-135176667	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	600118	
